,track_id,n_frames_present,frame1,framef,mean_dn,std_dn,mean_dist,completeness,gap
0,0,107,0,106,981360.4097227292,157681.01727645274,2.2279991238479835,1.0,0
1,1148,183,177,359,304924.7310877732,36301.2533829864,2.021792485197033,1.0,0
2,1610,96,264,359,127514.25081380208,13387.085145428582,2.162517597016225,1.0,0
3,823,1,128,128,124267.25,,,1.0,0
4,824,1,128,128,121060.78125,,,1.0,0
5,2,360,0,359,115201.24848090278,5779.258068729584,1.9962647065539556,1.0,0
6,825,1,128,128,110758.609375,,,1.0,0
7,800,1,126,126,107594.25,,,1.0,0
8,799,1,126,126,107534.875,,,1.0,0
9,802,1,126,126,106954.15625,,,1.0,0
10,803,1,126,126,106888.6640625,,,1.0,0
11,815,1,127,127,105740.0,,,1.0,0
12,801,1,126,126,105322.921875,,,1.0,0
13,813,1,127,127,105097.9140625,,,1.0,0
14,816,1,127,127,104674.375,,,1.0,0
15,814,1,127,127,104672.171875,,,1.0,0
16,798,1,126,126,104467.890625,,,1.0,0
17,817,1,127,127,104188.734375,,,1.0,0
18,797,1,126,126,103753.8671875,,,1.0,0
19,819,1,127,127,103056.15625,,,1.0,0
20,818,1,127,127,99318.890625,,,1.0,0
21,827,1,128,128,93427.78125,,,1.0,0
22,859,1,130,130,89880.4453125,,,1.0,0
23,828,1,128,128,89752.5859375,,,1.0,0
24,826,1,128,128,88881.4921875,,,1.0,0
25,858,1,130,130,87648.8359375,,,1.0,0
26,839,1,129,129,86752.9296875,,,1.0,0
27,830,1,128,128,86388.2421875,,,1.0,0
28,838,1,129,129,83934.2109375,,,1.0,0
29,829,1,128,128,83547.015625,,,1.0,0
30,842,1,129,129,80776.765625,,,1.0,0
31,860,1,130,130,80168.1640625,,,1.0,0
32,841,1,129,129,79545.15625,,,1.0,0
33,843,1,129,129,75081.3125,,,1.0,0
34,861,1,130,130,73451.1484375,,,1.0,0
35,840,1,129,129,73431.859375,,,1.0,0
36,863,1,130,130,71830.703125,,,1.0,0
37,862,1,130,130,69679.609375,,,1.0,0
38,844,1,129,129,67086.671875,,,1.0,0
39,870,1,131,131,66415.5390625,,,1.0,0
40,871,1,131,131,65379.58203125,,,1.0,0
41,864,1,130,130,63572.96484375,,,1.0,0
42,1770,70,290,359,62440.10571986607,9452.873563972667,2.0793956413584125,1.0,0
43,873,1,131,131,62016.75,,,1.0,0
44,1112,1,171,171,60474.5703125,,,1.0,0
45,804,1,126,126,59409.60546875,,,1.0,0
46,1907,4,317,320,59277.5400390625,14357.749611199244,2.3630734758341547,1.0,0
47,872,1,131,131,57049.421875,,,1.0,0
48,2069,1,340,340,56403.69921875,,,1.0,0
49,2009,4,331,334,56220.1943359375,5668.372640138908,2.362351291888919,1.0,0
50,1938,8,322,329,55815.2158203125,530.5147105620064,2.2252614645509277,1.0,0
51,781,1,125,125,54517.8125,,,1.0,0
52,1154,15,177,191,54203.799479166664,8457.999625852024,2.209757279857191,1.0,0
53,837,1,128,128,54167.546875,,,1.0,0
54,1816,61,299,359,53676.204405737706,10052.540081948287,2.2860782258646446,1.0,0
55,3,4,0,3,53324.8681640625,26318.18800947193,1.6366585633395625,1.0,0
56,955,10,143,152,53205.642578125,7777.394520077563,2.4072362914280916,1.0,0
57,1535,2,250,251,53071.236328125,136.88869128446916,2.163330765278381,1.0,0
58,1771,5,290,294,52671.7515625,6762.760046123844,2.146418890043726,1.0,0
59,448,3,65,67,52577.88671875,286.8475033682508,2.207213800647548,1.0,0
60,719,1,113,113,52229.296875,,,1.0,0
61,2145,5,355,359,52135.453125,6887.20725596364,2.3680772857130616,1.0,0
62,2007,29,331,359,51929.17160560345,8244.660660874426,2.292052477252022,1.0,0
63,783,1,125,125,51699.51953125,,,1.0,0
64,959,1,143,143,51665.390625,,,1.0,0
65,1567,1,256,256,51607.2734375,,,1.0,0
66,1601,1,262,262,50718.6015625,,,1.0,0
67,1548,3,252,254,50624.364583333336,2739.184375698809,2.0185847411142963,1.0,0
68,1800,64,296,359,50410.23992919922,6803.024201092961,2.0821374986453325,1.0,0
69,7,1,0,0,49993.1875,,0.0,1.0,0
70,5,349,0,348,49974.48622739076,2999.612645787883,1.7599310972735833,1.0,0
71,736,2,115,116,49494.33203125,11000.973952189826,2.5,1.0,0
72,1275,1,198,198,49280.2109375,,,1.0,0
73,1685,85,275,359,48896.95188419118,9390.092770428535,2.3601013642349704,1.0,0
74,1636,1,268,268,48837.90625,,,1.0,0
75,386,2,59,60,48209.69140625,10859.668605658804,2.5,1.0,0
76,1013,1,152,152,48105.4296875,,,1.0,0
77,1649,1,270,270,48049.21484375,,,1.0,0
78,1071,10,163,172,47767.8291015625,9084.571251516632,2.3665127782111393,1.0,0
79,2044,18,336,353,47528.506510416664,5114.637079383576,2.270021375353826,1.0,0
80,402,2,62,63,47499.77734375,10576.483388337048,2.5495097567964904,1.0,0
81,562,1,84,84,47443.1953125,,,1.0,0
